iGrID,RAJ2000,DEJ2000,z,logLtot,logLobs,logMtot,logMstar,NMstar,logMdyn,sigma,Rad,angRad,DL,Ntot
29830,100.92584229,31.18041039,0.0425161,11.73151,11.16905,12.65832,,0,,,,,180.9254,1
23947,102.9538269,32.61521912,0.0248159,11.17305,11.00421,12.55481,,0,9.5968,44.9188,280.8501,0.162388,104.072,2
3319,102.73716736,33.43758011,0.0172789,11.66041,11.58268,13.05406,,0,10.0574,143.6595,79.2995,0.065289,72.0169,4
29487,102.03518677,33.57376099,0.0248428,10.90666,10.73735,12.03338,,0,,,,,104.187,1
3264,100.37719727,32.8323288,0.0173001,11.32192,11.24404,12.74724,,0,9.906,138.8023,59.9405,0.049291,72.1066,2
13156,100.19875336,33.59856033,0.0172434,10.8958,10.81861,12.42695,,0,10.3065,131.1252,168.9046,0.139343,71.8669,2
28070,101.18538666,33.32904053,0.0440998,11.79523,11.18694,12.70883,,0,,,,,187.9113,1
588,101.82238007,33.56718826,0.0168428,11.75241,11.6783,13.16117,,0,10.0443,289.095,18.9992,0.016039,70.1744,2
9012,100.56317139,34.43312836,0.0179064,10.87141,10.78764,12.04142,,0,,,,,74.6709,1
3678,101.35793304,34.4861908,0.0184057,11.12598,11.03804,12.2485,,0,,,,,76.7841,1
20841,101.50675964,35.33269882,0.0178822,10.56477,10.48137,11.80533,,0,,,,,74.5684,1
3302,103.86525726,33.28039932,0.0180381,11.13313,11.04836,12.2564,,0,,,,,75.228,1
13673,104.99529266,34.08356094,0.0246821,11.40701,11.23994,12.75911,,0,9.4135,72.892,69.9278,0.040646,103.4993,2
16631,104.95841217,35.45803833,0.0281792,11.23155,11.00723,12.2869,,0,,,,,118.5043,1
4004,104.59616852,35.84059143,0.0171036,11.28443,11.20823,12.61055,,0,8.7595,32.0,80.496,0.066939,71.2763,2
26600,105.74447632,36.8404808,0.0649444,12.91504,11.62109,13.63753,,0,,,,,281.5804,1
21045,102.91536713,34.81690979,0.0467779,12.11776,11.43081,12.99218,,0,,,,,199.7662,1
6890,103.25512695,34.92341995,0.0268929,11.40597,11.20475,12.44538,,0,,,,,112.9753,1
21387,102.44416046,35.274189,0.0245375,10.93386,10.76874,12.05704,,0,,,,,102.8809,1
12736,102.84882355,36.91316986,0.0240453,11.12359,10.96576,12.21685,,0,,,,,100.7766,1
13527,104.2053833,38.02840042,0.0464912,12.16439,11.48667,13.03639,,0,,,,,198.4945,1
