iGalID,iGrID,Name,RAJ2000,DEJ2000,z,logMstar
25949,8421,"    02542011+1337014",43.58385849,13.61703014,0.0323349,
32079,5377,"    02520181+1354119",43.00774002,13.90338039,0.0321251,
7390,5377,"    02521278+1359305",43.05323029,13.99186993,0.0328494,
21705,15793,"    02584116+1421272",44.67150116,14.35764027,0.031623,
19760,14383,"    02491602+1431355",42.31668854,14.52657986,0.0293694,
26332,14383,"    02493891+1437113",42.41215897,14.61979008,0.0293377,
9635,7022,"    02540177+1458358",43.50733948,14.97657013,0.03184,
16466,11956,"    02544713+1535214",43.69646835,15.5893898,0.0324067,
37731,27389,"    02430488+1400069",40.77035904,14.00193024,0.069639,
30727,22325,"    02451246+1410291",41.30192947,14.17477036,0.0292026,
16887,12259,"    02403277+1417523",40.13658905,14.29792976,0.043251,
17518,12731,"    02384309+1442157",39.67953873,14.70438957,0.0455977,
12399,9030,"    02434911+1453222",40.95458984,14.88955021,0.0456215,
40471,29349,"    02444291+1514242",41.1787796,15.24009037,0.0241694,
29420,21377,"    02492853+1447504",42.36886978,14.79743004,0.0240689,
22147,16112,"    02470097+1452437",41.75419998,14.87880039,0.0240721,
35387,5737,"    02471887+1523169",41.82873917,15.38803959,0.0233199,
39224,28445,"    02490112+1543597",42.25469971,15.73328018,0.0204564,
19974,14538,"    02492578+1548034",42.35736847,15.80103016,0.0299405,
13580,9891,"    02504903+1600275",42.704319,16.00772095,0.0325969,
27694,9891,"    02510979+1605152",42.7907486,16.08757019,0.0316815,
35784,9891,"    02503539+1603253",42.64744186,16.0571003,0.031299,
36035,9891,"    02504892+1609355",42.70391846,16.15979004,0.0322602,
7886,5737,"    02470245+1525167",41.76025009,15.42133999,0.0248926,
32322,5447,"    02473820+1552457",41.90911102,15.87942028,0.0245351,
24727,17998,"    02461033+1557084",41.54315948,15.95242023,0.0255227,
19997,5447,"    02473055+1606408",41.87734985,16.11137962,0.0232677,
7490,5447,"    02470402+1611597",41.76671982,16.19990921,0.023306,
37019,26877,"    02471331+1631590",41.80562973,16.53303909,0.0385904,
26369,4129,"    02560873+1547331",44.03639984,15.79249001,0.0331259,
34447,11956,"    02544630+1539284",43.69292068,15.6578598,0.0336469,
19471,4129,"    02555624+1558224",43.98437119,15.97290993,0.0291341,
22886,4129,"    02564045+1552576",44.16851044,15.8826704,0.0294873,
26289,4129,"    02570458+1559006",44.26906967,15.98342991,0.0305193,
29104,4129,"    02573261+1559054",44.38582993,15.98480988,0.0293243,
12761,4129,"    02573747+1604048",44.40618896,16.0679493,0.030885,
30864,22425,"    02575745+1606198",44.48945999,16.10556984,0.0554622,
18169,4129,"    02563285+1554371",44.13690186,15.91028976,0.0334844,
5736,4129,"    02562876+1554581",44.11983109,15.91609955,0.0338842,
19059,4129,"    02562779+1600291",44.11587906,16.00816917,0.029213,
13581,4129,"    02564995+1559036",44.2081604,15.9843502,0.0322486,
29761,4129,"    02572353+1605424",44.34803009,16.09519958,0.0307107,
16400,11909,"    02591493+1602177",44.81214905,16.03824043,0.0295483,
24827,18071,"    03011222+1612331",45.30089188,16.20923042,0.0308136,
41976,30439,"    03000803+1630149",45.03345108,16.50406075,0.0343065,
20189,14696,"    03055248+1607053",46.46863937,16.11819077,0.0459769,
41715,30237,"    03031501+1626188",45.81256866,16.43857956,0.0318092,
